Identifiers,Betweenness Centrality
2019_IS,3.28E-06
2012_HU,3.28E-06
2007_PL,3.28E-06
2018_AL,2.87E-06
2006_HR,2.46E-06
2008_LV,2.46E-06
2017_FR,2.46E-06
2010_LV,2.46E-06
2019_IL,2.46E-06
2016_IE,2.46E-06
2005_FI,2.46E-06
2007_LV,2.46E-06
2012_DE,2.46E-06
2005_HR,2.46E-06
2004_FI,2.46E-06
2006_IS,2.46E-06
2005_IS,2.46E-06
2004_LV,2.46E-06
2016_FR,2.46E-06
2021_IL,2.46E-06
2015_EE,1.64E-06
2010_IE,1.64E-06
2023_NL,1.64E-06
2013_AM,1.64E-06
2022_NL,1.64E-06
2009_AM,1.64E-06
2012_BA,1.64E-06
2019_EE,1.64E-06
2009_IE,1.64E-06
2004_BA,1.64E-06
2011_MD,1.64E-06
2005_MD,1.64E-06
2019_RS,1.23E-06
2005_MK,1.23E-06
2021_RS,1.23E-06
2005_CS,8.20E-07
2007_ME,8.20E-07
2004_CY,8.19E-07
2004_MC,8.19E-07
2012_NO,8.19E-07
2015_CY,8.19E-07
2018_IS,8.19E-07
2011_GR,8.19E-07
2022_GE,8.19E-07
2005_MC,8.19E-07
2011_DE,8.19E-07
2010_DE,8.19E-07
2021_GE,8.19E-07
2023_GR,8.19E-07
2011_IS,8.19E-07
2023_IT,4.10E-07
2016_MK,4.10E-07
2012_MK,4.10E-07
2022_MK,0
2022_PT,0
2022_ME,0
2022_RS,0
2022_SE,0
2022_MD,0
2022_LV,0
2022_IT,0
2022_IL,0
2022_IE,0
2022_SM,0
2023_FI,0
2022_UA,0
2023_IS,0
2023_SI,0
2023_RS,0
2023_RO,0
2023_PT,0
2023_MT,0
2023_LV,0
2023_IL,0
2023_CZ,0
2023_HR,0
2023_FR,0
2022_ES,0
2023_ES,0
2023_DK,0
2016_SM,0
2022_FI,0
2017_ME,0
2017_AU,0
2018_RU,0
2019_GR,0
2019_GE,0
2019_DK,0
2019_DE,0
2019_BY,0
2019_AU,0
2019_AT,0
2018_SE,0
2018_PT,0
2019_IT,0
2018_LV,0
2018_IT,0
2018_IE,0
2018_GE,0
2017_UA,0
2017_IS,0
2017_IT,0
2017_PT,0
2019_IE,0
2019_MD,0
2022_EE,0
2017_BY,0
2022_CZ,0
2022_BG,0
2022_BE,0
2022_AL,0
2021_RU,0
2017_NL,0
2021_RO,0
2021_PT,0
2021_LV,0
2019_PT,0
2021_IT,0
2021_IS,0
2021_GB,0
2021_BE,0
2021_AU,0
2019_SI,0
2019_SE,0
2017_DK,0
2004_AD,0
2013_HR,0
2016_EE,0
2008_ES,0
2008_DK,0
2008_DE,0
2008_CZ,0
2008_CH,0
2008_BG,0
2008_BE,0
2008_BA,0
2008_AZ,0
2008_AD,0
2007_UA,0
2007_TR,0
2007_SE,0
2007_RO,0
2007_NL,0
2007_MD,0
2007_LT,0
2007_IL,0
2007_IE,0
2007_HR,0
2007_GB,0
2007_FR,0
2007_FI,0
2007_DE,0
2007_CZ,0
2007_CH,0
2007_BG,0
2007_BE,0
2008_EE,0
2008_FI,0
2009_ME,0
2008_FR,0
2009_LV,0
2009_LT,0
2009_IL,0
2009_HR,0
2009_GB,0
2009_FR,0
2009_FI,0
2009_ES,0
2009_DE,0
2009_CZ,0
2009_CH,0
2009_BG,0
2009_BE,0
2009_AZ,0
2009_AD,0
2008_TR,0
2008_SM,0
2008_SI,0
2008_RO,0
2008_PL,0
2008_NO,0
2008_NL,0
2008_MD,0
2008_LT,0
2008_IE,0
2008_HR,0
2008_GB,0
2007_BA,0
2007_AT,0
2006_UA,0
2006_TR,0
2005_LV,0
2005_IL,0
2005_IE,0
2005_HU,0
2005_GB,0
2005_FR,0
2005_ES,0
2005_BG,0
2005_BE,0
2005_AT,0
2004_UA,0
2004_TR,0
2004_SI,0
2004_RO,0
2004_PT,0
2004_PL,0
2004_NO,0
2004_NL,0
2004_IL,0
2004_IE,0
2004_HR,0
2004_GB,0
2004_ES,0
2004_EE,0
2004_DE,0
2004_CH,0
2004_AT,0
2005_MT,0
2005_NL,0
2005_PL,0
2006_GR,0
2006_RO,0
2006_PT,0
2006_PL,0
2006_NO,0
2006_NL,0
2006_MT,0
2006_MD,0
2006_MC,0
2006_LV,0
2006_LT,0
2006_IL,0
2006_IE,0
2006_GB,0
2005_PT,0
2006_FR,0
2006_FI,0
2006_ES,0
2006_EE,0
2006_DE,0
2006_CY,0
2006_BY,0
2006_BG,0
2006_BE,0
2005_UA,0
2005_TR,0
2005_RO,0
2009_MD,0
2009_NL,0
2016_DE,0
2014_CH,0
2013_RU,0
2013_RO,0
2013_NL,0
2013_MT,0
2013_MK,0
2013_ME,0
2013_LV,0
2013_LT,0
2013_IT,0
2013_IE,0
2013_HU,0
2013_GB,0
2013_FR,0
2013_ES,0
2013_EE,0
2013_DE,0
2013_CH,0
2013_BG,0
2013_BE,0
2013_AL,0
2012_UA,0
2012_TR,0
2012_SK,0
2012_RO,0
2012_NL,0
2012_MT,0
2012_ME,0
2014_BE,0
2014_DE,0
2009_PL,0
2014_FI,0
2016_BA,0
2016_AZ,0
2016_AL,0
2015_RO,0
2015_PT,0
2015_MT,0
2015_MD,0
2015_IT,0
2015_IS,0
2015_IE,0
2015_HU,0
2015_FR,0
2015_DE,0
2015_CZ,0
2015_CH,0
2015_AU,0
2014_MT,0
2014_MD,0
2014_LV,0
2014_LT,0
2014_IT,0
2014_IS,0
2014_IL,0
2014_IE,0
2014_GR,0
2014_GE,0
2014_GB,0
2012_MD,0
2012_LV,0
2012_IT,0
2012_IL,0
2011_BE,0
2011_AT,0
2010_UA,0
2010_TR,0
2010_SK,0
2010_RU,0
2010_RO,0
2010_PT,0
2010_PL,0
2010_NL,0
2010_MK,0
2010_LT,0
2010_GE,0
2010_GB,0
2010_FR,0
2010_FI,0
2010_ES,0
2010_EE,0
2010_CY,0
2010_BG,0
2010_BE,0
2010_AL,0
2009_TR,0
2009_SK,0
2009_RU,0
2009_RO,0
2009_PT,0
2011_CH,0
2011_DK,0
2011_FI,0
2011_SK,0
2012_HR,0
2012_GB,0
2012_FR,0
2012_FI,0
2012_CH,0
2012_BY,0
2012_BG,0
2012_BE,0
2012_AL,0
2011_UA,0
2011_TR,0
2011_SM,0
2011_RO,0
2011_FR,0
2011_PT,0
2011_PL,0
2011_NL,0
2011_MT,0
2011_MK,0
2011_LV,0
2011_LT,0
2011_IT,0
2011_IL,0
2011_HR,0
2011_GE,0
2011_GB,0
2023_UA,0
