talent,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Roles,performance_ids
Yevgeny Matyushenko,0.003437903,5.54e-06,0.003437903,1.45e-28,lyricists,"2009-ua, 2018-by"
Iryna Krestinina,0.001289214,0.0,0.002115633,4.8200000000000004e-29,backings,2009-ua
Alan Badoev,0.001289214,0.0,0.002115633,4.8200000000000004e-29,stageDirector,2009-ua
Brinck,0.001289214,0.0,0.00428256,6.67e-20,artist,2009-dk
Ronan Keating,0.001289214,0.0,0.00428256,6.67e-20,writers,2009-dk
Tim McEwan,0.001289214,0.0,0.00428256,6.67e-20,backings,2009-dk
Vicky Leander,0.003008165,3.44e-05,0.005844435,3.18e-19,stageDirector,"2009-dk, 2012-dk"
Nelly Ciobanu,0.001718951,0.0,0.000859476,1.4e-55,"artist, lyricists",2009-md
Veaceslav Daniliuc,0.000859476,0.0,0.000859476,9.88e-56,composers,2009-md
Gicu Cimbir,0.000859476,0.0,0.000859476,9.88e-56,backings,2009-md
Flor,0.000429738,0.0,0.000429738,8.51e-68,artist,2009-pt
Pedro Marques,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"composers, lyricists",2009-pt
Noa & Mira Awad,0.000859476,0.0,0.000859476,1.67e-61,artist,2009-il
Noa,0.000859476,0.0,0.000859476,1.67e-61,writers,2009-il
Gil Dor,0.000859476,0.0,0.000859476,1.67e-61,backings,2009-il
Kejsi Tola,0.001718951,0.0,0.002105716,1.33e-35,artist,2009-al
June Muftaraj Taylor,0.001718951,0.0,0.002105716,1.33e-35,lyricists,2009-al
Orgesa Zaimi,0.001718951,0.0,0.002105716,1.33e-35,backings,2009-al
Julian Bulku,0.001718951,0.0,0.002105716,1.33e-35,stageDirector,2009-al
Igor Cukrov feat. Andrea,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2009-hr
Tonči Huljić,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2009-hr
Vjekoslava Huljić,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2009-hr
Sanja Jukić,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2009-hr
Elena,0.001718951,0.0,0.001718951,1.9699999999999998e-38,artist,2009-ro
Ovidiu Bistriceanu,0.001718951,0.0,0.001718951,1.9699999999999998e-38,composers,2009-ro
Laurenţiu Duţă,0.001718951,0.0,0.001718951,1.9699999999999998e-38,lyricists,2009-ro
Roxana Ureche,0.001718951,0.0,0.001718951,1.9699999999999998e-38,backings,2009-ro
Oana Draghici,0.001718951,0.0,0.001718951,1.9699999999999998e-38,stageDirector,2009-ro
Alex Swings Oscar Sings!,0.000859476,0.0,0.000859476,1.67e-61,artist,2009-de
Alex Christensen,0.000859476,0.0,0.000859476,1.67e-61,writers,2009-de
Dita Von Teese,0.000859476,0.0,0.000859476,1.67e-61,backings,2009-de
Malena Ernman,0.001718951,0.0,0.003644508,5.72e-26,"artist, lyricists",2009-se
Tine Matulessy,0.003008165,3.99e-05,0.00473786,1.92e-25,"backings, stageDirector","2009-se, 2014-by"
Gregory Bilsen,0.000859476,0.0,0.002175548,2.46e-34,lyricists,2009-mt
Sasha Son,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"artist, writers",2009-lt
Sam Hywel James,0.000429738,0.0,0.000429738,8.51e-68,backings,2009-lt
Soraya,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2009-es
Verónica Ferreiro,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2009-es
Jason Gill,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2009-es
Felipe Pedroso,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2009-es
Waldo's People,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2009-fi
Päivi Virkkunen,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2009-fi
Karima,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2009-fi
Waldo,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2009-fi
Marko Kon & Milaan,0.001718951,0.0,0.038730494,0.000144217,artist,2009-rs
Ljubiša Dinčić,0.001718951,0.0,0.038730494,0.000144217,backings,2009-rs
Milan 'Milaan' Nikolić,0.001718951,0.0,0.038730494,0.000144217,composers,2009-rs
Marko Kon,0.001718951,0.0,0.038730494,0.000144217,lyricists,2009-rs
Mojca Horvat,0.003008165,0.000920814,0.04518385,0.001046743,stageDirector,"2009-rs, 2015-mk"
Sinéad Mulvey & Black Daisy,0.000859476,0.0,0.001145968,8.089999999999999e-54,artist,2009-ie
Nicole Billings,0.000859476,0.0,0.001145968,8.089999999999999e-54,backings,2009-ie
Niall Mooney,0.001718951,1.48e-06,0.001718951,1.26e-53,writers,"2009-ie, 2010-ie"
Next Time,0.001289214,0.0,0.002699875,3.17e-31,artist,2009-mk
Mario Stanković,0.001289214,0.0,0.002699875,3.17e-31,backings,2009-mk
Elvir Mekić,0.001289214,0.0,0.002699875,3.17e-31,lyricists,2009-mk
Andrea Demirović,0.000859476,0.0,0.000859476,1.67e-61,artist,2009-me
Peter Bischof,0.000859476,0.0,0.000859476,1.67e-61,backings,2009-me
Peter Match,0.000859476,0.0,0.000859476,1.67e-61,writers,2009-me
Lidia Kopania,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2009-pl
Patrycja Gola,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2009-pl
Rike Boomgaarden,0.001289214,0.0,0.001289214,1.6399999999999998e-48,writers,2009-pl
Bolesław Pawica,0.001289214,0.0,0.001289214,1.6399999999999998e-48,stageDirector,2009-pl
Christina Metaxa,0.001289214,0.0,0.003334173,7.55e-29,artist,2009-cy
Richard Hall,0.001289214,0.0,0.003334173,7.55e-29,backings,2009-cy
Nikolas Metaxas,0.001289214,0.0,0.003334173,7.55e-29,writers,2009-cy
Philip Mazurov,0.001289214,0.0,0.001718951,1.57e-38,backings,2009-by
Valery Prokhozhy,0.001289214,0.0,0.001718951,1.57e-38,lyricists,2009-by
Janusz Józefowicz,0.001289214,0.0,0.001718951,1.57e-38,stageDirector,2009-by
Lovebugs,0.000429738,0.0,0.000429738,8.1e-80,artist,2009-ch
Thomas Rechberger,0.000429738,0.0,0.000429738,8.1e-80,writers,2009-ch
Zoli Ádok,0.001718951,0.0,0.003184468,6.11e-27,artist,2009-hu
Zé Szabó,0.003437903,1.92e-05,0.004776702,1.52e-26,composers,"2009-hu, 2016-hu"
Jnoffin Kasai,0.001718951,0.0,0.003184468,6.11e-27,lyricists,2009-hu
Zita Karsai,0.001718951,0.0,0.003184468,6.11e-27,backings,2009-hu
Tímea Papp,0.001718951,0.0,0.003184468,6.11e-27,stageDirector,2009-hu
Quartissimo feat. Martina,0.000859476,0.0,0.026812,3.52e-08,artist,2009-si
Miha Alujevič,0.000859476,0.0,0.026812,3.52e-08,stageDirector,2009-si
The Toppers,0.000859476,0.0,0.000859476,1.67e-61,artist,2009-nl
Gordon,0.000859476,0.0,0.000859476,1.67e-61,writers,2009-nl
Sarina Voorn,0.000859476,0.0,0.000859476,1.67e-61,backings,2009-nl
Susanne Georgi,0.001718951,0.0,0.000859476,1.4e-55,"artist, composers",2009-ad
Susana Ribalta Ponce,0.000859476,0.0,0.000859476,9.88e-56,backings,2009-ad
Josep Roca Vila,0.000859476,0.0,0.000859476,9.88e-56,lyricists,2009-ad
Kamil Mikulčík & Nela Pocisková,0.000859476,0.0,0.000859476,9.88e-56,artist,2009-sk
Rastislav Dubovský,0.001718951,0.0,0.000859476,1.4e-55,"backings, composers",2009-sk
Petronela Kolevská,0.000859476,0.0,0.000859476,9.88e-56,lyricists,2009-sk
Krassimir Avramov,0.000859476,0.0,0.000859476,9.88e-56,artist,2009-bg
Trey Knight,0.000859476,0.0,0.000859476,9.88e-56,backings,2009-bg
William Tabanou,0.001718951,0.0,0.000859476,1.4e-55,"composers, lyricists",2009-bg
Intars Busulis,0.001718951,0.0,0.001718951,1.9699999999999998e-38,artist,2009-lv
Vineta Elksne,0.001718951,0.0,0.001718951,1.9699999999999998e-38,backings,2009-lv
Kārlis Lācis,0.001718951,0.0,0.001718951,1.9699999999999998e-38,composers,2009-lv
Sergej Timofejev,0.001718951,0.0,0.001718951,1.9699999999999998e-38,lyricists,2009-lv
Viktors Runtulis,0.001718951,0.0,0.001718951,1.9699999999999998e-38,stageDirector,2009-lv
Copycat,0.000859476,0.0,0.000859476,1.67e-61,artist,2009-be
Miam Monster Miam,0.000859476,0.0,0.000859476,1.67e-61,composers,2009-be
Jacques Duvall,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2009-be
Gipsy.cz,0.000429738,0.0,0.000429738,8.1e-80,artist,2009-cz
Radoslav 'Gipsy' Banga,0.000429738,0.0,0.000429738,8.1e-80,writers,2009-cz
Lena,0.001289214,7.39e-07,0.001289214,6.12e-59,artist,"2010-de, 2011-de"
Maya Saban,0.000859476,0.0,0.00096691,5.23e-59,backings,2010-de
Julie Frost,0.000859476,0.0,0.00096691,5.23e-59,writers,2010-de
maNga,0.001289214,0.0,0.001289214,2.97e-45,artist,2010-tr
Yağmur Sarıgül,0.002148689,0.0,0.001289214,3.87e-45,"composers, lyricists",2010-tr
Genevieve Cleary,0.001289214,0.0,0.001289214,2.97e-45,stageDirector,2010-tr
Nathalie Marrable,0.001289214,0.0,0.001289214,2.97e-45,dancers,2010-tr
Paula Seling & Ovi,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-ro
Ovidiu Cernăuţeanu,0.000859476,0.0,0.000859476,1.67e-61,writers,2010-ro
Oana Puscatu,0.000859476,0.0,0.000859476,1.67e-61,backings,2010-ro
Chanée & N'evergreen,0.000859476,0.0,0.049340659,0.002196314,artist,2010-dk
Safura,0.001289214,0.0,0.044836097,0.014674723,artist,2010-az
Stefan Örn,0.00601633,0.00407124,0.045075351,0.020528581,"composers, lyricists, writers","2010-az, 2011-az, 2012-az, 2014-az"
Sandra Bjurman,0.008594757,0.01857107,0.053412082,0.115829397,lyricists,"2010-az, 2014-ua, 2015-az, 2017-az, 2018-az"
Samantha Powell,0.001289214,0.0,0.044836097,0.014674723,backings,2010-az
Tom Dice,0.000859476,0.0,0.000859476,9.88e-56,artist,2010-be
Tom Eeckhout,0.001718951,0.0,0.000859476,1.4e-55,"composers, lyricists",2010-be
Mátyás Blanckaert,0.000859476,0.0,0.000859476,9.88e-56,backings,2010-be
Eva Rivas,0.001289214,0.0,0.043075578,0.022311253,artist,2010-am
Marina Ahverdova,0.001289214,0.0,0.043075578,0.022311253,backings,2010-am
Giorgos Alkaios & Friends,0.001289214,0.0,0.002320584,2.43e-30,artist,2010-gr
Giorgos Alkaios,0.001289214,0.0,0.002320584,2.43e-30,composers,2010-gr
Petros Zlatkos,0.003437903,1.11e-06,0.002900731,4.8699999999999996e-30,"lyricists, backings","2010-gr, 2011-am"
Sofia Nizharadze,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2010-ge
Harry Sommerdahl,0.001289214,0.0,0.001289214,1.6399999999999998e-48,writers,2010-ge
Sopho Toroshelidze,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2010-ge
Redha Benteifour,0.001289214,0.0,0.001289214,1.6399999999999998e-48,stageDirector,2010-ge
Alyosha,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-ua
Vadim Lisitsa,0.000859476,0.0,0.000859476,1.67e-61,composers,2010-ua
Olena Kucher,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2010-ua
Peter Nalitch & Friends,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-ru
Peter Nalitch,0.000859476,0.0,0.000859476,1.67e-61,writers,2010-ru
Yuri Kostenko,0.000859476,0.0,0.000859476,1.67e-61,backings,2010-ru
Jessy Matador,0.000429738,0.0,0.000429738,8.1e-80,artist,2010-fr
Jacques Ballue,0.000429738,0.0,0.000429738,8.1e-80,writers,2010-fr
Milan Stanković,0.001718951,0.0,0.031256691,1.25e-07,artist,2010-rs
Goran Bregović,0.001718951,0.0,0.031256691,1.25e-07,composers,2010-rs
Marina Tucaković,0.005156854,0.01464289,0.034934329,8.39e-07,lyricists,"2010-rs, 2013-rs, 2015-me"
Zorica Brkić,0.001718951,0.0,0.031256691,1.25e-07,backings,2010-rs
Harel Skaat,0.001289214,0.0,0.005379681,1.33e-19,artist,2010-il
Tomer Hadadi,0.001289214,0.0,0.005379681,1.33e-19,composers,2010-il
Noam Horev,0.001289214,0.0,0.005379681,1.33e-19,lyricists,2010-il
Daniel Diges,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2010-es
Jesús Cañadilla,0.001289214,0.0,0.001289214,1.6399999999999998e-48,writers,2010-es
Yuri Olmechenko,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2010-es
Maite Marcos,0.001289214,0.0,0.001289214,1.6399999999999998e-48,stageDirector,2010-es
Juliana Pasha,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2010-al
Ardit Gjebrea,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2010-al
Pirro Çako,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2010-al
Olen Cesari,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2010-al
Vukašin Brajić,0.001289214,0.0,0.028279614,2.35e-08,artist,2010-ba
Edin-Dino Šaran,0.001289214,0.0,0.028279614,2.35e-08,writers,2010-ba
Marko Vulinović,0.001289214,0.0,0.028279614,2.35e-08,backings,2010-ba
Filipa Azevedo,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-pt
Augusto Madureira,0.000859476,0.0,0.000859476,1.67e-61,writers,2010-pt
Pedro Mimoso,0.000859476,0.0,0.000859476,1.67e-61,backings,2010-pt
Didrik Solli,0.001289214,0.0,0.008599873,2.73e-15,artist,2010-no
Hanne Margrethe Fredriksen Sørvaag,0.001289214,0.0,0.008599873,2.73e-15,writers,2010-no
Øyvind Boye Løvold,0.001289214,0.0,0.008599873,2.73e-15,backings,2010-no
Jon Lilygreen & The Islanders,0.000429738,0.0,0.000429738,8.51e-68,artist,2010-cy
Nasos Lambrianides,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"composers, lyricists",2010-cy
Sunstroke Project & Olia Tira,0.001289214,0.0,0.003143225,1.9000000000000002e-29,artist,2010-md
Sergey Stepanov,0.002578427,1.03e-05,0.003929032,3.29e-29,composers,"2010-md, 2017-md"
Alina Galetskaya,0.002578427,1.03e-05,0.003929032,3.29e-29,lyricists,"2010-md, 2017-md"
Vadim Tsurkan,0.003008165,2.22e-05,0.003793548,3.13e-29,dancers,"2010-md, 2013-md"
Niamh Kavanagh,0.000859476,0.0,0.001145968,8.089999999999999e-54,artist,2010-ie
Nikki Kavanagh,0.000859476,0.0,0.001145968,8.089999999999999e-54,backings,2010-ie
3+2,0.001289214,0.0,0.002261778,1.14e-38,artist,2010-by
Robert Wells,0.001289214,0.0,0.002261778,1.14e-38,backings,2010-by
Malka Chaplin,0.001289214,0.0,0.002261778,1.14e-38,lyricists,2010-by
Josh,0.000429738,0.0,0.000429738,8.1e-80,artist,2010-gb
Pete Waterman,0.000429738,0.0,0.000429738,8.1e-80,writers,2010-gb
Anna Bergendahl,0.001289214,0.0,0.041529601,0.000373126,artist,2010-se
Martin Kagemark,0.002578427,0.001376787,0.049011435,0.003068676,backings,"2010-se, 2013-ge"
Kristian Lagerström,0.001289214,0.0,0.041529601,0.000373126,lyricists,2010-se
Kuunkuiskaajat,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-fi
Jukka Tarvaisen,0.000859476,0.0,0.000859476,1.67e-61,backings,2010-fi
Timo Kiiskinen,0.000859476,0.0,0.000859476,1.67e-61,writers,2010-fi
InCulto,0.000429738,0.0,0.000429738,8.1e-80,artist,2010-lt
Laurynas Lapė,0.000429738,0.0,0.000429738,8.1e-80,writers,2010-lt
Thea Garrett,0.001289214,0.0,0.035968153,6.34e-05,artist,2010-mt
Pamela Bezzina,0.004727116,0.002061855,0.041478619,0.000523078,backings,"2010-mt, 2016-mt, 2024-mt"
Jason Cassar,0.001289214,0.0,0.035968153,6.34e-05,composers,2010-mt
Sunny Aquilina,0.001289214,0.0,0.035968153,6.34e-05,lyricists,2010-mt
Marcin Mroziński,0.002148689,0.0,0.001289214,3.87e-45,"artist, lyricists",2010-pl
Marcin Nierubiec,0.001289214,0.0,0.001289214,2.97e-45,composers,2010-pl
Weronika Bochat-Piotrowska,0.001289214,0.0,0.001289214,2.97e-45,backings,2010-pl
Dariusz Lewandowski,0.001289214,0.0,0.001289214,2.97e-45,stageDirector,2010-pl
Malcolm Lincoln,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-ee
Mick Pedaja,0.000859476,0.0,0.000859476,1.67e-61,backings,2010-ee
Robin Juhkental,0.000859476,0.0,0.000859476,1.67e-61,writers,2010-ee
Gjoko Taneski,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-mk
Kristian Gabroski,0.000859476,0.0,0.000859476,1.67e-61,writers,2010-mk
Damjan Pejcinoski,0.000859476,0.0,0.000859476,1.67e-61,backings,2010-mk
Branimir Mihaljević,0.004297379,0.003630047,0.037854003,2.42e-05,composers,"2010-hr, 2018-hr, 2021-hr"
Pamela Ramljak,0.000859476,0.0,0.033269479,2.62e-06,lyricists,2010-hr
Sieneke,0.000429738,0.0,0.000429738,8.1e-80,artist,2010-nl
Pierre Kartner,0.000429738,0.0,0.000429738,8.1e-80,writers,2010-nl
Kristina Pelakova,0.000859476,0.0,0.000859476,1.67e-61,artist,2010-sk
Martin Kavulič,0.000859476,0.0,0.000859476,1.67e-61,composers,2010-sk
Kamil Peteraj,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2010-sk
Miro,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2010-bg
Miroslav Kostadinov,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2010-bg
Mihail Mihailov,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2010-bg
Vyara Panteleeva,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2010-bg
Aisha,0.001289214,0.0,0.001534778,1.2399999999999999e-45,artist,2010-lv
Raili Orrava,0.001289214,0.0,0.001534778,1.2399999999999999e-45,backings,2010-lv
Jānis Lūsēns,0.001289214,0.0,0.001534778,1.2399999999999999e-45,composers,2010-lv
Ansambel Žlindra & Kalamari,0.000859476,0.0,0.017873721,2.12e-13,artist,2010-si
Marino Legovič,0.000859476,0.0,0.017873721,2.12e-13,composers,2010-si
Leon Oblak,0.002578427,0.000461885,0.019139279,1.96e-12,lyricists,"2010-si, 2016-si"
Michael von der Heide,0.001718951,0.0,0.003497405,7.3199999999999995e-25,"artist, lyricists",2010-ch
Sybille Faessler,0.000859476,0.0,0.003497405,6.26e-25,backings,2010-ch
Pele Loriano,0.001718951,1.55e-05,0.005166621,2.9499999999999997e-24,"composers, writers","2010-ch, 2019-lt"
Ell/Nikki,0.001289214,0.0,0.038739375,0.002497142,artist,2011-az
Vera Prada,0.001289214,0.0,0.038739375,0.002497142,backings,2011-az
"Filip Adamo, Rennie Mirro",0.003867641,0.002512655,0.038837337,0.002674861,stageDirector,"2011-az, 2018-ee, 2019-lv"
Raphael Gualazzi,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"artist, writers",2011-it
Massimo Valentini,0.000429738,0.0,0.000429738,8.51e-68,backings,2011-it
Eric Saade,0.001289214,0.0,0.003106793,2.0700000000000002e-26,artist,2011-se
Robin Haghi,0.001289214,0.0,0.003106793,2.0700000000000002e-26,backings,2011-se
Benke,0.002148689,1.4e-05,0.003212108,2.24e-26,stageDirector,"2011-se, 2021-ie"
Mika Newton,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2011-ua
Maryna Skomorohova,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2011-ua
Ruslan Kvinta,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2011-ua
Anatolii Zalevskyi,0.001289214,0.0,0.001289214,1.6399999999999998e-48,stageDirector,2011-ua
A Friend In London,0.000859476,0.0,0.000859476,1.67e-61,artist,2011-dk
Lise Cabble,0.000859476,0.0,0.000859476,1.67e-61,writers,2011-dk
Sebastian Vinther Olsen,0.000859476,0.0,0.000859476,1.67e-61,backings,2011-dk
Dino Merlin,0.001718951,0.0,0.028274881,2.32e-08,"artist, writers",2011-ba
Nermin Puškar,0.000859476,0.0,0.028274881,2.12e-08,backings,2011-ba
Loucas Yiorkas feat. Stereo Mike,0.000859476,0.0,0.00096691,3.3600000000000004e-57,artist,2011-gr
Giannis Christodoulopoulos,0.000859476,0.0,0.00096691,3.3600000000000004e-57,writers,2011-gr
Konstantinos Rigos,0.001289214,7.39e-07,0.001289214,4.3800000000000004e-57,stageDirector,"2011-gr, 2023-gr"
Jedward,0.002148689,0.004918152,0.037617995,0.019493965,artist,"2011-ie, 2012-ie"
Martin Larson,0.001289214,0.0,0.033151965,0.002360814,writers,2011-ie
Morgan Deane,0.001289214,0.0,0.033151965,0.002360814,backings,2011-ie
Brian Friedman,0.002578427,0.004268557,0.033276032,0.002443964,stageDirector,"2011-ie, 2018-fi"
Eldrine,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2011-ge
DJ BE$$,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2011-ge
Miken,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2011-ge
Pascal Jourdan,0.001289214,0.0,0.001289214,1.6399999999999998e-48,stageDirector,2011-ge
Nicole Morier,0.000429738,0.0,0.000773528,2.82e-59,writers,2011-de
Blue,0.000429738,0.0,0.000429738,8.1e-80,artist,2011-gb
Liam Keenan,0.000429738,0.0,0.000429738,8.1e-80,writers,2011-gb
Marc Elsner,0.001289214,0.0,0.001534778,4.45e-40,lyricists,2011-md
Tatjana Ilescu,0.001289214,0.0,0.001534778,4.45e-40,backings,2011-md
Maja Keuc,0.001289214,0.0,0.023929521,8.57e-10,artist,2011-si
Sandra Feketija,0.002578427,0.006197389,0.026148029,6.91e-09,backings,"2011-si, 2012-si"
Nina,0.001289214,0.0,0.028063524,1.72e-08,artist,2011-rs
Kristina Kovač,0.001289214,0.0,0.028063524,1.72e-08,writers,2011-rs
Tijana Bogićević,0.003008165,0.001603665,0.028096194,1.81e-08,"backings, artist",2011-rs
Miloš Paunović,0.003008165,0.002279865,0.031268261,1.41e-07,stageDirector,"2011-rs, 2013-rs"
Amaury Vassili,0.000859476,0.0,0.000859476,1.67e-61,artist,2011-fr
Quentin Bachelet,0.000859476,0.0,0.000859476,1.67e-61,composers,2011-fr
Julie Miller,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2011-fr
Alexej Vorobjov,0.001289214,0.0,0.050475774,0.004334308,artist,2011-ru
RedOne,0.001289214,0.0,0.050475774,0.004334308,writers,2011-ru
Robert Malmborg,0.001289214,0.0,0.050475774,0.004334308,backings,2011-ru
Sacha Jean-Baptiste,0.026214009,0.03512047,0.062042753,0.03574621,stageDirector,"2011-ru, 2015-ge, 2016-am, 2016-lt, 2016-ge, 2016-cy, 2017-bg, 2017-am, 2017-ge, 2018-cy, 2018-bg, 2018-au, 2019-ch, 2019-cy, 2021-ch, 2021-mt, 2021-al, 2022-au, 2022-ch, 2023-ch, 2023-al"
Hotel FM,0.000429738,0.0,0.000429738,8.51e-68,artist,2011-ro
Gabriel Băruţă,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"composers, lyricists",2011-ro
Nadine Beiler,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"artist, lyricists",2011-at
Thomas Rabitsch,0.000429738,0.0,0.000429738,8.51e-68,composers,2011-at
Evelina Sašenko,0.000859476,0.0,0.000859476,9.88e-56,artist,2011-lt
Paulius Zdanavičius,0.001718951,0.0,0.000859476,1.4e-55,"composers, backings",2011-lt
Andrius Kairys,0.000859476,0.0,0.000859476,9.88e-56,lyricists,2011-lt
Sjonni's Friends,0.000859476,0.0,0.00096691,4.08e-53,artist,2011-is
Sigurjón Brink,0.000859476,0.0,0.00096691,4.08e-53,composers,2011-is
Þórunn Erna Clausen,0.002148689,7.39e-07,0.001289214,6.6e-53,"backings, lyricists, writers","2011-is, 2018-is"
Paradise Oskar,0.000429738,0.0,0.000429738,8.1e-80,artist,2011-fi
Axel Ehnström,0.000429738,0.0,0.000429738,8.1e-80,writers,2011-fi
Kati Wolf,0.001289214,0.0,0.001619781,2.56e-41,artist,2011-hu
Zsolt Szentirmai,0.001289214,0.0,0.001619781,2.56e-41,backings,2011-hu
Péter Geszti,0.001289214,0.0,0.001619781,2.56e-41,lyricists,2011-hu
Lucía Pérez,0.001289214,0.0,0.002320584,3.24e-39,artist,2011-es
Sandra Borrego,0.001718951,2.96e-06,0.00248634,3.48e-39,backings,"2011-es, 2014-es"
Lola González,0.001289214,0.0,0.002320584,3.24e-39,stageDirector,2011-es
Getter Jaani,0.000859476,0.0,0.002046371,2.31e-43,artist,2011-ee
Marilin Kongo,0.000859476,0.0,0.002046371,2.31e-43,backings,2011-ee
Anna Rossinelli,0.000859476,0.0,0.000859476,1.67e-61,artist,2011-ch
Manuel Meisel,0.000859476,0.0,0.000859476,1.67e-61,backings,2011-ch
David Klein,0.000859476,0.0,0.000859476,1.67e-61,writers,2011-ch
Glen Vella,0.000859476,0.0,0.000859476,1.67e-61,artist,2011-mt
Paul Giordimaina,0.000859476,0.0,0.000859476,1.67e-61,writers,2011-mt
Simon Law,0.000859476,0.0,0.000859476,1.67e-61,backings,2011-mt
Emmy,0.001718951,0.0,0.00248634,3.24e-30,artist,2011-am
Hayk Hovhannisyan,0.001718951,0.0,0.00248634,3.24e-30,composers,2011-am
Sosi Khanikyan,0.001718951,0.0,0.00248634,3.24e-30,lyricists,2011-am
Witloof Bay,0.000429738,0.0,0.000429738,8.1e-80,artist,2011-be
RoxorLoops,0.000429738,0.0,0.000429738,8.1e-80,writers,2011-be
Yüksek Sadakat,0.000859476,0.0,0.000859476,1.67e-61,artist,2011-tr
Kutlu Özmakinacı,0.000859476,0.0,0.000859476,1.67e-61,composers,2011-tr
Ergün Arsal,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2011-tr
Aurela Gaçe,0.001289214,0.0,0.00193382,3.05e-39,artist,2011-al
Shpëtim Saraçi,0.001289214,0.0,0.00193382,3.05e-39,composers,2011-al
Sokol Marsi,0.002578427,6.65e-06,0.002900731,5.87e-39,lyricists,"2011-al, 2015-al"
Emiljano Dhimo,0.001289214,0.0,0.00193382,3.05e-39,backings,2011-al
Poli Genova,0.001718951,0.005724519,0.056521383,0.004243049,artist,"2011-bg, 2016-bg"
Marvin Dietmann,0.014611087,0.027851757,0.055628059,0.002401336,stageDirector,"2011-bg, 2012-at, 2013-at, 2014-at, 2015-at, 2016-at, 2017-at, 2017-de, 2018-at, 2023-au, 2023-am, 2023-at, 2023-gb, 2023-de, 2023-ge"
Sebastian Arman,0.004727116,0.019313382,0.060639776,0.009342588,"composers, lyricists, writers","2011-bg, 2016-bg, 2017-bg, 2018-at"
TWiiNS,0.000859476,0.0,0.000859476,1.67e-61,artist,2011-sk
Bryan Todd,0.000859476,0.0,0.000859476,1.67e-61,composers,2011-sk
Sandra Nordstrom,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2011-sk
Anastasiya Vinnikova,0.001718951,0.0,0.002707349,9.64e-26,artist,2011-by
Uzari,0.001718951,0.0,0.002707349,9.64e-26,backings,2011-by
Evgeny Oleynik,0.001718951,0.0,0.002707349,9.64e-26,composers,2011-by
Svetlana Geraskova,0.003008165,9.42e-06,0.003575743,1.76e-25,lyricists,"2011-by, 2015-by"
Olga Shamrova,0.003008165,9.42e-06,0.003575743,1.76e-25,stageDirector,"2011-by, 2015-by"
